time	p1,0.278	p2,0.278	p1,0.64	p2,0.64
0	0.5	0.5	0.5	0.5
1	0.451857	0.448943	0.494186	0.394383
2	0.424863	0.419784	0.503058	0.324984
3	0.41548	0.408638	0.526236	0.283589
4	0.420847	0.412401	0.563342	0.262398
5	0.438955	0.428905	0.614159	0.255738
6	0.46851	0.45675	0.678625	0.259957
7	0.5087	0.495058	0.756701	0.272812
8	0.558964	0.543225	0.848188	0.292909
9	0.618771	0.600696	0.952493	0.319306
10	0.687421	0.666771	1.07E+00	0.351235
11	0.763856	0.740411	1.19E+00	0.387911
12	0.846499	0.820085	1.33E+00	0.428398
13	0.933125	0.903646	1.46E+00	0.471533
14	1.02E+00	0.988292	1.59E+00	0.515909
15	1.11E+00	1.07E+00	1.70E+00	0.559926
16	1.18E+00	1.15E+00	1.80E+00	0.601908
17	1.25E+00	1.21E+00	1.87E+00	0.640254
18	1.31E+00	1.27E+00	1.91E+00	0.673585
19	1.34E+00	1.30E+00	1.91E+00	0.700822
20	1.36E+00	1.32E+00	1.87E+00	0.721173
21	1.35E+00	1.31E+00	1.78E+00	0.734052
22	1.33E+00	1.29E+00	1.65E+00	0.738998
23	1.28E+00	1.24E+00	1.47E+00	0.735726
24	1.20E+00	1.18E+00	1.27E+00	0.724423
25	1.11E+00	1.10E+00	1.07E+00	0.706308
26	1.01E+00	1.00E+00	0.869144	0.684177
27	0.905197	0.902521	0.69924	0.662388
28	0.799656	0.804154	0.565798	0.64594
29	0.703771	0.714347	0.468907	0.639164
30	0.623149	0.638518	0.403185	0.64492
31	0.560621	0.579615	0.361729	0.664653
32	0.516481	0.538241	0.338443	0.698863
33	0.489425	0.51344	0.328742	0.747565
34	0.477522	0.503589	0.329417	0.810512
35	0.478875	0.50701	0.33825	0.887227
36	0.491902	0.522259	0.353655	0.97689
37	0.515377	0.54819	0.374397	1.08E+00
38	0.548347	0.583876	0.399394	1.19E+00
39	0.589992	0.628489	0.427585	1.31E+00
40	0.639487	0.681154	0.457865	1.42E+00
41	0.695857	0.740808	0.48908	1.54E+00
42	0.757853	0.806071	0.520082	1.64E+00
43	0.823849	0.875143	0.549849	1.73E+00
44	0.891795	0.94575	0.577635	1.78E+00
45	0.959214	1.02E+00	0.60314	1.80E+00
46	1.02E+00	1.08E+00	0.626638	1.77E+00
47	1.08E+00	1.14E+00	0.649053	1.68E+00
48	1.13E+00	1.18E+00	0.671945	1.51E+00
49	1.17E+00	1.22E+00	0.697409	1.29E+00
50	1.19E+00	1.23E+00	0.727891	1.01E+00
51	1.19E+00	1.23E+00	0.76592	0.730525
52	1.18E+00	1.21E+00	0.813793	0.491135
53	1.16E+00	1.17E+00	0.873187	0.325897
54	1.11E+00	1.11E+00	0.944891	0.22858
55	1.06E+00	1.04E+00	1.03E+00	0.176247
56	0.987065	0.961862	1.12E+00	0.149808
57	0.912837	0.875528	1.23E+00	0.138047
