x	t=0	t=1000	t=5000
0	1	0.983264519	0.999992013
0.02	0.996655553	0.976333467	0.992230575
0.04	0.993733662	0.972001789	0.986952354
0.06	0.99103373	0.968977218	0.982943724
0.08	0.988503563	0.96685869	0.979830543
0.1	0.98611842	0.965421133	0.977403107
0.12	0.983864511	0.96451403	0.975520824
0.14	0.981733576	0.964027136	0.974080166
0.16	0.979720531	0.963875188	0.973000446
0.18	0.977822271	0.963989875	0.972216422
0.2	0.97603699	0.964315158	0.971674012
0.22	0.974363762	0.964804302	0.971327616
0.24	0.972802268	0.965417895	0.971138329
0.26	0.971352612	0.966122441	0.971072706
0.28	0.970015189	0.966889333	0.971101858
0.3	0.968790582	0.967694085	0.971200778
0.32	0.967679495	0.968515728	0.97134783
0.34	0.966682688	0.969336341	0.971524341
0.36	0.965800941	0.970140672	0.971714286
0.38	0.965035007	0.970915835	0.971904029
0.4	0.964385594	0.971651064	0.972082117
0.42	0.963853333	0.972337514	0.972239118
0.44	0.963438766	0.972968096	0.972367487
0.46	0.963142327	0.973537355	0.972461468
0.48	0.962964335	0.974041371	0.972517012
0.5	0.962904982	0.974477686	0.972531733
0.52	0.962964335	0.974845258	0.972504869
0.54	0.963142327	0.975144439	0.972437277
0.56	0.963438766	0.975376976	0.972331441
0.58	0.963853333	0.975546033	0.972191506
0.6	0.964385594	0.975656243	0.97202333
0.62	0.965035007	0.975713781	0.971834559
0.64	0.965800941	0.975726472	0.971634733
0.66	0.966682688	0.975703934	0.971435413
0.68	0.967679495	0.975657751	0.971250352
0.7	0.968790582	0.975601713	0.971095696
0.72	0.970015189	0.975552094	0.970990244
0.74	0.971352612	0.975528026	0.970955768
0.76	0.972802268	0.975551958	0.971017413
0.78	0.974363762	0.975650249	0.971204221
0.8	0.97603699	0.975853946	0.971549795
0.82	0.977822271	0.976199817	0.972093208
0.84	0.979720531	0.976731764	0.972880242
0.86	0.981733576	0.977502834	0.973965173
0.88	0.983864511	0.978578208	0.975413452
0.9	0.98611842	0.980039904	0.977305999
0.92	0.988503563	0.981994799	0.979746606
0.94	0.99103373	0.984589856	0.982876183
0.96	0.993733662	0.988046067	0.986904862
0.98	0.996655553	0.992758543	0.992207491
1	1	1	1
