	1.11	1.12	1.13	1.14	1.15	1.16	1.17	1.18	1.19	1.2	1.21	1.22	1.23	1.24	1.25	1.26	1.27	1.28	1.29	1.3	1.31	1.32	1.33	1.34	1.35	1.36	1.37	1.38	1.39	1.4	1.41	1.42	1.43	1.44	1.45	1.46	1.47	1.48	1.49	1.5	1.51	1.52	1.53	1.54	1.55	1.56	1.57	1.58	1.59	1.6	1.61	1.62	1.63	1.64	1.65	1.66	1.67	1.68	1.69	1.7	1.71	1.72	1.73	1.74	1.75	1.76	1.77	1.78	1.79	1.8	1.81	1.82	1.83	1.84	1.85	1.86	1.87	1.88	1.89	1.9	1.91	1.92	1.93	1.94	1.95	1.96	1.97	1.98	1.99	2	2.01	2.02	2.03	2.04	2.05	2.06	2.07	2.08	2.09	2.1
0.02	10	10	10	10	0.999895	0.9994637	0.9987744	0.9978938	0.9968754	0.9957613	0.9945851	0.9933726	0.9921441	0.9909151	0.9896972	0.9884992	0.9873276	0.9861869	0.9850803	0.9840097	0.9829763	0.9819806	0.9810225	0.9801017	0.9792173	0.9783685	0.9775543	0.9767734	0.9760247	0.9753069	0.9746187	0.9739588	0.9733261	0.9727192	0.9721371	0.9715786	0.9710426	0.970528	0.9700339	0.9695592	0.9691031	0.9686646	0.968243	0.9678374	0.9674472	0.9670715	0.9667097	0.9663613	0.9660254	0.9657017	0.9653895	0.9650884	0.9647977	0.9645172	0.9642462	0.9639845	0.9637316	0.9634871	0.9632507	0.963022	0.9628007	0.9625865	0.9623791	0.9621783	0.9619838	0.9617952	0.9616124	0.9614352	0.9612633	0.9610966	0.9609348	0.9607777	0.9606252	0.9604771	0.9603332	0.9601934	0.9600575	0.9599254	0.959797	0.9596721	0.9595506	0.9594323	0.9593173	0.9592052	0.9590962	0.9589899	0.9588865	0.9587857	0.9586874	0.9585917	0.9584984	0.9584074	0.9583187	0.9582321	0.9581477	0.9580653	0.9579849	0.9579065	0.9578299	0.9577551
0.03	10	10	10	10	0.9999157	0.9995647	0.9989942	0.9982537	0.9973842	0.9964195	0.9953872	0.9943099	0.9932055	0.9920886	0.9909706	0.9898605	0.9887653	0.9876902	0.9866393	0.9856154	0.9846205	0.983656	0.9827226	0.9818206	0.98095	0.9801106	0.9793018	0.9785229	0.9777732	0.9770519	0.976358	0.9756905	0.9750486	0.9744313	0.9738376	0.9732665	0.9727171	0.9721885	0.9716799	0.9711904	0.9707191	0.9702653	0.9698282	0.9694071	0.9690013	0.9686101	0.9682329	0.9678691	0.9675181	0.9671794	0.9668524	0.9665366	0.9662316	0.9659369	0.965652	0.9653766	0.9651102	0.9648526	0.9646032	0.9643619	0.9641282	0.9639019	0.9636827	0.9634702	0.9632643	0.9630646	0.962871	0.9626832	0.9625009	0.962324	0.9621523	0.9619855	0.9618236	0.9616662	0.9615133	0.9613647	0.9612202	0.9610797	0.960943	0.96081	0.9606807	0.9605548	0.9604322	0.9603129	0.9601967	0.9600834	0.9599732	0.9598657	0.959761	0.9596589	0.9595593	0.9594622	0.9593676	0.9592752	0.9591851	0.9590972	0.9590114	0.9589276	0.9588458	0.958766
0.04	10	10	10	10	0.999931	0.9996402	0.9991616	0.9985324	0.9977847	0.9969455	0.9960376	0.9950801	0.9940888	0.9930769	0.9920549	0.9910317	0.9900142	0.989008	0.9880175	0.9870462	0.9860965	0.9851704	0.9842693	0.9833941	0.9825452	0.9817229	0.9809271	0.9801577	0.9794143	0.9786965	0.9780035	0.9773348	0.9766898	0.9760677	0.9754677	0.9748891	0.9743311	0.9737931	0.9732742	0.9727737	0.972291	0.9718253	0.971376	0.9709423	0.9705238	0.9701197	0.9697295	0.9693527	0.9689886	0.9686368	0.9682968	0.9679681	0.9676503	0.9673428	0.9670454	0.9667575	0.9664789	0.9662092	0.9659479	0.9656949	0.9654497	0.965212	0.9649816	0.9647582	0.9645415	0.9643313	0.9641274	0.9639294	0.9637372	0.9635506	0.9633693	0.9631932	0.9630221	0.9628558	0.9626941	0.9625368	0.9623839	0.9622352	0.9620905	0.9619497	0.9618126	0.9616791	0.9615492	0.9614226	0.9612993	0.9611792	0.9610621	0.960948	0.9608368	0.9607284	0.9606226	0.9605195	0.9604189	0.9603207	0.9602249	0.9601314	0.9600401	0.959951	0.959864	0.959779
0.05	10	10	10	10	0.9999424	0.9996979	0.9992914	0.9987518	0.9981041	0.9973702	0.996569	0.9957166	0.9948266	0.9939107	0.9929787	0.9920386	0.9910973	0.9901602	0.9892318	0.9883159	0.9874154	0.9865325	0.9856689	0.984826	0.9840047	0.9832056	0.9824291	0.9816754	0.9809444	0.980236	0.9795498	0.9788856	0.9782429	0.9776212	0.97702	0.9764387	0.9758768	0.9753336	0.9748086	0.9743011	0.9738106	0.9733365	0.9728782	0.9724352	0.9720068	0.9715925	0.971192	0.9708045	0.9704296	0.9700669	0.9697159	0.9693761	0.9690472	0.9687287	0.9684203	0.9681214	0.9678319	0.9675513	0.9672793	0.9670156	0.9667599	0.9665119	0.9662712	0.9660377	0.9658111	0.9655911	0.9653774	0.96517	0.9649684	0.9647726	0.9645822	0.9643973	0.9642174	0.9640425	0.9638724	0.963707	0.963546	0.9633893	0.9632368	0.9630883	0.9629438	0.962803	0.9626658	0.9625322	0.962402	0.9622751	0.9621514	0.9620308	0.9619132	0.9617985	0.9616866	0.9615774	0.9614709	0.961367	0.9612655	0.9611665	0.9610698	0.9609754	0.9608831	0.960793
0.06	10	10	10	10	0.9999513	0.9997431	0.9993941	0.998927	0.9983619	0.9977166	0.9970068	0.9962459	0.9954458	0.9946168	0.9937674	0.9929052	0.9920365	0.9911665	0.9902999	0.9894401	0.9885904	0.9877531	0.9869303	0.9861235	0.985334	0.9845626	0.9838101	0.9830769	0.9823632	0.9816691	0.9809947	0.9803398	0.9797042	0.9790876	0.9784897	0.9779101	0.9773484	0.9768041	0.9762769	0.9757661	0.9752715	0.9747923	0.9743283	0.9738789	0.9734436	0.973022	0.9726136	0.972218	0.9718347	0.9714633	0.9711034	0.9707546	0.9704165	0.9700887	0.9697709	0.9694626	0.9691637	0.9688737	0.9685923	0.9683192	0.9680541	0.9677968	0.9675469	0.9673042	0.9670686	0.9668396	0.9666171	0.9664008	0.9661906	0.9659862	0.9657875	0.9655942	0.9654062	0.9652233	0.9650452	0.964872	0.9647033	0.9645391	0.9643791	0.9642234	0.9640716	0.9639238	0.9637797	0.9636393	0.9635024	0.9633689	0.9632388	0.9631118	0.962988	0.9628672	0.9627493	0.9626343	0.9625221	0.9624124	0.9623054	0.962201	0.9620989	0.9619992	0.9619018	0.9618067
0.07	10	10	10	10	0.9999583	0.999779	0.9994765	0.9990689	0.9985726	0.9980021	0.9973705	0.9966892	0.9959685	0.9952171	0.994443	0.9936526	0.992852	0.992046	0.991239	0.9904345	0.9896356	0.9888448	0.9880643	0.9872958	0.9865407	0.9858001	0.9850749	0.9843657	0.9836731	0.9829973	0.9823386	0.981697	0.9810724	0.9804649	0.9798742	0.9793002	0.9787424	0.9782008	0.9776748	0.9771642	0.9766687	0.9761878	0.9757211	0.9752683	0.974829	0.9744027	0.9739891	0.9735878	0.9731984	0.9728206	0.972454	0.9720981	0.9717528	0.9714175	0.971092	0.9707761	0.9704692	0.9701712	0.9698818	0.9696007	0.9693275	0.9690621	0.9688041	0.9685534	0.9683097	0.9680727	0.9678422	0.9676181	0.9674	0.9671879	0.9669815	0.9667805	0.966585	0.9663946	0.9662092	0.9660287	0.9658528	0.9656815	0.9655146	0.965352	0.9651934	0.9650389	0.9648883	0.9647414	0.9645981	0.9644584	0.964322	0.964189	0.9640592	0.9639326	0.9638089	0.9636882	0.9635704	0.9634553	0.9633429	0.9632331	0.9631258	0.963021	0.9629186	0.9628185
0.08	10	10	10	10	0.9999639	0.999808	0.9995435	0.9991852	0.9987465	0.9982395	0.9976751	0.9970631	0.9964122	0.9957301	0.9950238	0.9942992	0.9935616	0.9928157	0.9920653	0.9913141	0.9905649	0.9898202	0.9890823	0.988353	0.9876336	0.9869256	0.9862299	0.9855473	0.9848785	0.9842239	0.9835839	0.9829587	0.9823485	0.9817533	0.9811731	0.9806078	0.9800573	0.9795214	0.9789999	0.9784926	0.9779992	0.9775194	0.977053	0.9765995	0.9761587	0.9757304	0.9753141	0.9749095	0.9745163	0.9741342	0.9737629	0.9734021	0.9730514	0.9727105	0.9723792	0.9720571	0.971744	0.9714396	0.9711437	0.9708559	0.9705759	0.9703037	0.9700389	0.9697812	0.9695305	0.9692865	0.9690491	0.968818	0.968593	0.9683739	0.9681606	0.9679528	0.9677504	0.9675533	0.9673612	0.967174	0.9669916	0.9668137	0.9666404	0.9664713	0.9663065	0.9661457	0.9659889	0.9658359	0.9656867	0.965541	0.9653989	0.9652601	0.9651246	0.9649924	0.9648632	0.9647371	0.9646139	0.9644935	0.9643759	0.964261	0.9641487	0.964039	0.9639317	0.9638268
0.09	10	10	10	10	0.9999685	0.9998317	0.9995988	0.9992817	0.9988916	0.9984388	0.9979322	0.9973805	0.9967911	0.9961706	0.9955253	0.9948604	0.9941808	0.9934906	0.9927935	0.9920929	0.9913914	0.9906917	0.9899958	0.9893055	0.9886224	0.9879478	0.9872827	0.9866283	0.985985	0.9853536	0.9847346	0.9841282	0.9835348	0.9829545	0.9823875	0.9818336	0.9812931	0.9807657	0.9802514	0.97975	0.9792613	0.9787852	0.9783215	0.9778699	0.9774301	0.977002	0.9765853	0.9761797	0.9757849	0.9754006	0.9750267	0.9746628	0.9743086	0.973964	0.9736285	0.9733021	0.9729843	0.972675	0.972374	0.9720809	0.9717956	0.9715178	0.9712473	0.9709839	0.9707274	0.9704775	0.9702341	0.969997	0.969766	0.9695409	0.9693215	0.9691077	0.9688993	0.9686962	0.9684981	0.9683049	0.9681165	0.9679328	0.9677536	0.9675787	0.9674081	0.9672416	0.9670791	0.9669205	0.9667657	0.9666145	0.9664669	0.9663228	0.966182	0.9660445	0.9659102	0.9657789	0.9656506	0.9655253	0.9654028	0.965283	0.9651659	0.9650515	0.9649395	0.96483
0.1	10	10	10	10	0.9999722	0.9998514	0.9996448	0.9993625	0.9990138	0.9986074	0.998151	0.9976519	0.9971165	0.9965509	0.9959603	0.9953495	0.9947227	0.994084	0.9934365	0.9927835	0.9921274	0.9914708	0.9908156	0.9901636	0.9895164	0.9888752	0.9882414	0.9876157	0.9869991	0.9863922	0.9857957	0.9852098	0.984635	0.9840716	0.9835197	0.9829795	0.982451	0.9819343	0.9814294	0.9809362	0.9804546	0.9799845	0.9795257	0.9790781	0.9786416	0.9782159	0.9778008	0.9773962	0.9770017	0.9766173	0.9762426	0.9758774	0.9755216	0.9751748	0.9748369	0.9745077	0.9741868	0.9738742	0.9735695	0.9732726	0.9729832	0.9727012	0.9724263	0.9721583	0.9718971	0.9716425	0.9713942	0.9711521	0.9709161	0.9706859	0.9704614	0.9702424	0.9700288	0.9698204	0.969617	0.9694186	0.969225	0.969036	0.9688515	0.9686715	0.9684957	0.968324	0.9681564	0.9679927	0.9678328	0.9676766	0.967524	0.9673749	0.9672292	0.9670868	0.9669476	0.9668116	0.9666786	0.9665486	0.9664215	0.9662971	0.9661755	0.9660566	0.9659402	0.9658264
